img,model,N_data,acc,time
16090101,KMeans,10.0,0.8529411764705882,9.162
16090101,KMeans,8.0,0.8529411764705882,9.07
16090101,KMeans,7.0,0.8529411764705882,21.749
16090101,KMeans,5.0,0.8529411764705882,9.26
16090101,KMeans,4.0,0.8529411764705882,9.224
16090101,KMeans,2.0,0.8529411764705882,9.184
16090101,SpectralClustering,1400.0,0.9117647058823529,14.534
16090101,SpectralClustering,700.0,0.8529411764705882,13.236
16090101,SpectralClustering,350.0,0.8529411764705882,12.544
16090101,SpectralClustering,280.0,0.8529411764705882,11.366
16090101,SpectralClustering,200.0,0.8529411764705882,11.243
16090101,SpectralClustering,175.0,0.8529411764705882,11.31
16090101,SpectralClustering,140.0,0.8529411764705882,11.126
16090101,SpectralClustering,100.0,0.8529411764705882,23.8
16090101,SpectralClustering,70.0,0.8529411764705882,11.965
16090101,SpectralClustering,56.0,0.8529411764705882,11.849
16090101,SpectralClustering,50.0,0.8529411764705882,26.838
16090101,SpectralClustering,40.0,0.8529411764705882,11.221
16090101,SpectralClustering,35.0,0.8529411764705882,11.131
16090101,SpectralClustering,28.0,0.8529411764705882,12.143
16090101,SpectralClustering,25.0,0.8529411764705882,11.137
16090101,SpectralClustering,20.0,0.8529411764705882,11.288
16090101,SpectralClustering,14.0,0.8529411764705882,11.471
16090101,SpectralClustering,10.0,0.8529411764705882,11.452
16090101,SpectralClustering,8.0,0.8529411764705882,11.389
16090101,SpectralClustering,7.0,0.8529411764705882,11.224
16090101,SpectralClustering,5.0,0.8529411764705882,11.447
16090101,SpectralClustering,4.0,0.8529411764705882,11.671
16090101,SpectralClustering,2.0,0.8529411764705882,11.56
16090101,Birch,1400.0,0.8529411764705882,16.457
16090101,Birch,700.0,0.8529411764705882,19.48
16090101,Birch,350.0,0.8529411764705882,16.787
16090101,Birch,280.0,0.8529411764705882,14.532
16090101,Birch,200.0,0.8529411764705882,15.482
16090101,Birch,175.0,0.8529411764705882,15.562
16090101,Birch,140.0,0.8529411764705882,15.139
16090101,Birch,100.0,0.8529411764705882,13.295
16090101,Birch,70.0,0.8529411764705882,2.338
16090101,Birch,56.0,0.8529411764705882,2.33
